id,elem,value
"15","10.1093/llc/6.2.147","internal_server_error"
"15","10.1093/llc/7.2.138-b","internal_server_error"
"15","10.1093/llc/4.3.230","internal_server_error"
"15","10.1093/llc/5.4.351-a","internal_server_error"
"15","10.1093/llc/fqr016","internal_server_error"
"15","10.1093/llc/11.3.149","internal_server_error"
"15","10.1093/llc/17.4.475","internal_server_error"
"15","10.1093/llc/11.2.102-b","internal_server_error"
"15","10.1093/llc/11.2.102-a","internal_server_error"
"15","10.1093/llc/11.2.99","internal_server_error"
"15","10.1093/llc/fqs030","internal_server_error"
"15","10.1093/llc/fqs026","internal_server_error"
"15","10.1093/llc/fqs018","internal_server_error"
"15","10.1093/llc/fqs019","internal_server_error"
"15","10.1093/llc/fqs022","internal_server_error"
"15","10.1093/llc/fqs034","internal_server_error"
"15","10.1093/llc/fqs031","internal_server_error"
"15","10.1093/llc/fqs035","internal_server_error"
"15","10.1093/llc/fqs036","internal_server_error"
"15","10.1093/llc/fqs020","internal_server_error"
"15","10.1093/llc/fqs029","internal_server_error"
"15","10.1093/llc/fqs027","internal_server_error"
