RID,Retraction or Other Notices Title/Subject(s)/Journal --- Publisher/Affiliation(s)/Retraction Watch Post URL(s) 14 Item(s) Found,Reason(s),Author(s),Original Paper Date/PubMedID/DOI,Retraction or Other Notices Date/PubMedID/DOI,Article Type(s) Nature of Notice,Countries Paywalled? Notes
6995,"Country Land Building Intensity Contrast of Binzhou City Based on RS and GIS (B/T) Urban Planning; (HUM) Cartography;  The Open Civil Engineering Journal ---Bentham Open College of Biological and Agricultural Engineering, Jilin University, Changchun 130022, China  Department of Computer Science, Binzhou University, Binzhou 256600, China Department of Mathematics, Binzhou University, Binzhou 256600, China",+Fake Peer Review+Investigation by Journal/Publisher,Jianlin Wang Yinsheng Yang Lei Wang,10/29/2015  10.2174/1874149501509010923,12/29/2016  10.2174/1874149501610010883,Research Article Retraction,China No
8196,"A Participatory Iterative Mapping Approach and Evaluation of Three Machine Learning Algorithms for Accurate Mapping of Cropping Patterns in a Complex Agro-Ecosystems (B/T) Computer Science; (B/T) Technology; (BLS) Agriculture; (HUM) Cartography;  Advances in Remote Sensing ---Scientific Research Publishing  (SCIRP) International Rice Research Institute (IRRI), Metro Manila, Philippines International Rice Research Institute (IRRI), Myanmar Office, Nay Pyi Taw, Myanmar International Crops Research Institute for the Semi-Arid Tropics (ICRISAT), Patancheru, India",+Notice - Limited or No Information+Unreliable Results,Gudina Legese Feyisa Leo Palao Andy Nelson Khin Thawda Win Kin Nge Htar Murali Krishna Gumma David E Johnson,01/25/2016  10.4236/ars.2016.51001,02/15/2016  10.4236/ars.2016.51001,Research Article Retraction,India Myanmar (formerly Burma) Philippines No
5696,"Estimation of flood environmental effects using flood zone mapping techniques in Halilrood Kerman, Iran (HSC) Public Health and Safety; (HUM) Cartography; (PHY) Hydrology; (PUB) Society/Association Journals;  Journal of Environmental Health Science & Engineering ---BioMed Central (BMC) Department of Civil Engineering, K.N. Toosi University of Technology  Department and Faculty of Basic Sciences, PUK University http://retractionwatch.com/2015/06/03/flood-paper-washed-away-after-oversight-leads-to-publication-of-wrong-manuscript/",+Duplication of Article+Error by Journal/Publisher+Miscommunication by Author,Siamak Boudaghpour Majid Bagheri Zahra Bagheri,12/27/2014 25649059 10.1186/s40201-014-0153-z,04/17/2015 25883788 10.1186/s40201-015-0182-2,Research Article Retraction,Iran No
5292,"Geo-Genealogy of Irish Surnames (HUM) Cartography; (SOC) Linguistics;  Journal of Maps ---Taylor and Francis Centre for GIS, Kingston University London, Penrhyn Road, Kingston upon Thames, Surrey, KT1 2EE, UKSAHSU, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, UK",+Notice - Limited or No Information+Withdrawal,Kenneth S Field Linda Beale,06/01/2010  10.4113/jom.2010.1128,05/18/2012  10.1080/17445647.2012.690182,Research Article Retraction,United Kingdom No
5293,"Mapping the relationship between transport energy consumption and urban form characteristics for the Greater Dublin Area (B/T) Transportation; (B/T) Urban Planning; (HUM) Cartography;  Journal of Maps ---Taylor and Francis School of Architecture, Landscape and Civil Engineering, University College Dublin, Newstead Building, Belfield, Dublin, 4, Ireland",+Euphemisms for Plagiarism+Investigation by Journal/Publisher+Plagiarism of Text,John Carty Aoife Ahern,06/01/2010  10.4113/jom.2010.1074,05/18/2012  10.1080/17445647.2012.690183,Research Article Retraction,Ireland No
5294,"Schematic visualisation of ski resort trails (HUM) Cartography; (SOC) Sports and Recreation;  Journal of Maps ---Taylor and Francis School of Geography, Geology and the Environment, Kingston University, Penhryn Road, Kingston upon Thames, Surrey, KT1 2EE, UK http://retractionwatch.com/2012/06/21/ski-resort-paper-hits-a-media-mogul-and-gets-retracted/",+Notice - Limited or No Information+Objections by Author(s),Kenneth S Field,05/01/2009  10.4113/jom.2009.1045,05/18/2012  10.1080/17445647.2012.690180,Research Article Retraction,United Kingdom No
11157,"Estimation of uncertainty in flatness Minimum Zone verification according to new GPS standard system (B/T) Computer Science; (B/T) Technology; (HUM) Cartography; (PUB) Society/Association Journals;  2010 International Conference on Computer Application and System Modeling (ICCASM 2010) ---Institute of Electrical and Electronics Engineers (IEEE) Zhejiang Industry Polytechnic College, Shao Xing, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Investigation by Journal/Publisher+Notice - Limited or No Information,Liangrong Zhu,10/22/2010  10.1109/ICCASM.2010.5620293,11/04/2010  10.1109/ICCASM.2010.5620293,Conference Abstract/Paper Retraction,China No
13854,"Evolution of the channel geomorphology and flood management countermeasures of the middle and lower Yangtze River (ENV) Ground/Surface Water; (HUM) Cartography;  2010 The 2nd Conference on Environmental Science and Information Application Technology ---Institute of Electrical and Electronics Engineers (IEEE) Key Laboratory of Biogeology and Environmental Geology of Ministry of Education (China University of Geosciences), Wuhan 430074, China Faculty of Earth Sciences, China University of Geosciences, Wuhan 430074, China Institute of Geophysics and Geomatia, China University of Geosciences, Wuhan 430074, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information+Withdrawal,Chang-an Li Leiz Shao Chang-Sheng Huang Chun-guo Kang,07/17/2010,09/09/2010  10.1109/ESIAT.2010.5567402,Conference Abstract/Paper Retraction,China No
13876,"The characteristic of Jialing River's old channel (ENV) Ground/Surface Water; (HUM) Cartography;  2010 The 2nd Conference on Environmental Science and Information Application Technology ---Institute of Electrical and Electronics Engineers (IEEE) Faculty of Earth Sciences, China University of Geosciences, Wuhan, China, 430074 Institute of Geophysics and Geomatics, China University of Geosciences, Wuhan, China, 430074 Geological Environment Monitoring Center of Hunan Province, Changsha, China, 410007 http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Notice - Limited or No Information+Withdrawal,Jiang Huajun Li Chang'an Zhang Yufen Jiang Duanwu Wang Jietan Huang Shuchun,07/17/2010,09/09/2010  10.1109/ESIAT.2010.5567452,Conference Abstract/Paper Retraction,China No
12074,"Survey on simplification algorithm for large-scale terrain modeling (B/T) Computer Science; (B/T) Technology; (HUM) Cartography; (PUB) Society/Association Journals;  2010 3rd Intl Conference on Computer Science and Information Technology (ICCSIT) ---Institute of Electrical and Electronics Engineers (IEEE) Dept. of Information Engineering, North China University of Water Conservancy & Electric Power, Zhengzhou, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Investigation by Journal/Publisher+Notice - Limited or No Information+Withdrawal,HuiXin Wu Hui Zhang,07/09/2010  10.1109/ICCSIT.2010.5565182,09/07/2010  10.1109/ICCSIT.2010.5565182,Conference Abstract/Paper Retraction,China No
11412,"Research of GPS/DR integrated position system in position of navigation marks (B/T) Technology; (HUM) Cartography; (PUB) Society/Association Journals;  2010 International Conference on Educational and Network Technology (ICENT) ---Institute of Electrical and Electronics Engineers (IEEE) Institute of Graduate, Liaoning Technical University, Huludao Liaoning, CHINA School of Electronic and Information Engineering, Liaoning Technical University, Huludao, CHINA http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Investigation by Journal/Publisher+Notice - Limited or No Information,Dan Li Xiao-kui Ren,06/25/2010  10.1109/ICENT.2010.5532196,07/29/2010  10.1109/ICENT.2010.5532196,Conference Abstract/Paper Retraction,China No
11537,"The research of GPS localization and Map-Matching method (B/T) Technology; (HUM) Cartography; (PUB) Society/Association Journals;  2010 International Conference on Educational and Network Technology (ICENT) ---Institute of Electrical and Electronics Engineers (IEEE) Institute of Graduate, Liaoning Technical University, Huludao, China Institute of Electronic and Information Engineering, Liaoning Technical University, Huludao, China http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/",+Investigation by Journal/Publisher+Notice - Limited or No Information+Withdrawal,Pan Xi Shun Yang,06/25/2010  10.1109/ICENT.2010.5532184,07/29/2010  10.1109/ICENT.2010.5532184,Conference Abstract/Paper Retraction,China No
6652,"Model Parent-Child Relationships between Lines and Parcels (B/T) Urban Planning; (HUM) Cartography; (PHY) Mathematics;  2007 International Conference on Wireless Communications, Networking and Mobile Computing (WiCOM) ---Institute of Electrical and Electronics Engineers (IEEE) Spatial Inf. & Digital Eng. Res. Center, Wuhan Univ., Wuhan",+Investigation by Journal/Publisher+Notice - Limited or No Information,Hui Huang Fuling Bian,09/21/2007  10.1109/WICOM.2007.1393,10/08/2007  10.1109/WICOM.2007.1393,Conference Abstract/Paper Retraction,China No
21298,"More calculated to mislead than inform; travel writers and the mapping of Central America (1821-1945) (HUM) Cartography; (HUM) Journalism;  Varia Historia ---Universidade Federal de Minas Gerais Department of History, Skidmore College. 815 N. Broadway. Saratoga Springs, NY 12866",+Date of Retraction/Other Unknown+Notice - Lack of,Jordana Dym,01/01/2007 00000000 10.1590/S0104-87752007000100006,01/01/2007 00000000 10.1590/S0104-87752007000100006,Research Article Retraction,United States No
