x,y
"2003","10.1002/casp.699"
"2003","10.1080/14623520305660"
"2005","10.1177/1463499605050866"
"2007","10.1080/13691830601154294"
"2008","10.1177/0309132507087647"
"2010","10.1080/01419870.2010.522245"
"2011","10.1080/09668136.2011.547697"
"2011","10.1080/01419870.2011.535548"
"2011","10.1080/01419870.2011.556748"
"2012","10.1002/9781118257203.ch15"
"2013","10.1590/s0104-71832013000200016"
"2014","10.1057/9781137330727_7"
"2015","10.1017/s1755048314000789"
"2016","10.1177/1468797615588425"
"2016","10.1177/1468797616635371"
"2016","10.1177/1750698016650485"
"2018","10.3390/rel9070213"
